,OVERALL,Player Name,SEASON 1,SEASON 2,SEASON 3,SEASON 4,SEASON 5,SEASON 6,SEASON 7,Team
MATCHES PLAYED,78,maninder-singh,16,0,,,21,22,19,Bengal Warriors
TOTAL POINTS EARNED,727,maninder-singh,137,0,,,192,206,192,Bengal Warriors
MOST POINTS IN A MATCH,19,maninder-singh,13,0,,,17,17,19,Bengal Warriors
NOT OUT %,80.39 %,maninder-singh,76 %,0,,,82.01 %,79.52 %,82.02 %,Bengal Warriors
TOTAL RAIDS,1224,maninder-singh,175,0,,,367,376,306,Bengal Warriors
SUCCESSFUL RAIDS %,58.66,maninder-singh,74.28,0,,,51.77,54.78,62.74,Bengal Warriors
NO OF SUPER RAIDS,21,maninder-singh,3,0,,,6,6,6,Bengal Warriors
SUPER 10S,32,maninder-singh,5,0,,,9,9,9,Bengal Warriors
TOTAL RAID POINTS,718,maninder-singh,130,0,,,190,206,192,Bengal Warriors
AVERAGE RAID POINTS / MATCH,9.2,maninder-singh,8.12,0,,,9.04,9.36,10.1,Bengal Warriors
NO OF SUPER TACKLES,1,maninder-singh,1,0,,,0,0,0,Bengal Warriors
HIGH 5S,0,maninder-singh,0,0,,,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,9,maninder-singh,7,0,,,2,0,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0.1,maninder-singh,0.37,0,,,0.09,0,0,Bengal Warriors
TOTAL TACKLES,44,maninder-singh,19,0,,,13,5,7,Bengal Warriors
TACKLE STRIKE RATE,20.45 %,maninder-singh,36.84 %,0,,,15.38 %,0,0,Bengal Warriors
MATCHES PLAYED,81,k--prapanjan,,4,4,11,22,22,18,Bengal Warriors
TOTAL POINTS EARNED,369,k--prapanjan,,7,2,12,124,123,101,Bengal Warriors
MOST POINTS IN A MATCH,12,k--prapanjan,,3,1,3,11,12,12,Bengal Warriors
NOT OUT %,77.07 %,k--prapanjan,,71.42 %,16.66 %,69.04 %,77.45 %,78.03 %,79.18 %,Bengal Warriors
TOTAL RAIDS,820,k--prapanjan,,14,6,42,306,255,197,Bengal Warriors
SUCCESSFUL RAIDS %,44.26,k--prapanjan,,35.71,33.33,28.57,40.19,47.84,50.25,Bengal Warriors
NO OF SUPER RAIDS,7,k--prapanjan,,0,0,0,2,1,4,Bengal Warriors
SUPER 10S,10,k--prapanjan,,0,0,0,3,4,3,Bengal Warriors
TOTAL RAID POINTS,363,k--prapanjan,,5,2,12,123,122,99,Bengal Warriors
AVERAGE RAID POINTS / MATCH,4.48,k--prapanjan,,1.25,0.5,1.09,5.59,5.54,5.5,Bengal Warriors
NO OF SUPER TACKLES,0,k--prapanjan,,0,0,0,0,0,0,Bengal Warriors
HIGH 5S,0,k--prapanjan,,0,0,0,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,6,k--prapanjan,,2,0,0,1,1,2,Bengal Warriors
AVERAGE TACKLE / MATCH,0.07,k--prapanjan,,0.5,0,0,0.04,0.04,0.11,Bengal Warriors
TOTAL TACKLES,50,k--prapanjan,,5,2,1,17,11,14,Bengal Warriors
TACKLE STRIKE RATE,12 %,k--prapanjan,,40 %,0,0,5.88 %,9.09 %,14.28 %,Bengal Warriors
MATCHES PLAYED,3,mohammad-taghi,,,,,,,3,Bengal Warriors
TOTAL POINTS EARNED,1,mohammad-taghi,,,,,,,1,Bengal Warriors
MOST POINTS IN A MATCH,1,mohammad-taghi,,,,,,,1,Bengal Warriors
NOT OUT %,25 %,mohammad-taghi,,,,,,,25 %,Bengal Warriors
TOTAL RAIDS,4,mohammad-taghi,,,,,,,4,Bengal Warriors
SUCCESSFUL RAIDS %,0,mohammad-taghi,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,mohammad-taghi,,,,,,,0,Bengal Warriors
SUPER 10S,0,mohammad-taghi,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,mohammad-taghi,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,mohammad-taghi,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,mohammad-taghi,,,,,,,0,Bengal Warriors
HIGH 5S,0,mohammad-taghi,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,1,mohammad-taghi,,,,,,,1,Bengal Warriors
AVERAGE TACKLE / MATCH,0.33,mohammad-taghi,,,,,,,0.33,Bengal Warriors
TOTAL TACKLES,4,mohammad-taghi,,,,,,,4,Bengal Warriors
TACKLE STRIKE RATE,25 %,mohammad-taghi,,,,,,,25 %,Bengal Warriors
MATCHES PLAYED,25,rakesh-narwal,,11,1,,6,6,1,Bengal Warriors
TOTAL POINTS EARNED,52,rakesh-narwal,,21,0,,18,10,3,Bengal Warriors
MOST POINTS IN A MATCH,6,rakesh-narwal,,5,0,,6,3,3,Bengal Warriors
NOT OUT %,77.95 %,rakesh-narwal,,77.08 %,75 %,,85.71 %,58.82 %,50 %,Bengal Warriors
TOTAL RAIDS,127,rakesh-narwal,,48,4,,56,17,2,Bengal Warriors
SUCCESSFUL RAIDS %,39.37,rakesh-narwal,,43.75,0,,30.35,52.94,150,Bengal Warriors
NO OF SUPER RAIDS,4,rakesh-narwal,,2,0,,1,1,0,Bengal Warriors
SUPER 10S,0,rakesh-narwal,,0,0,,0,0,0,Bengal Warriors
TOTAL RAID POINTS,50,rakesh-narwal,,21,0,,17,9,3,Bengal Warriors
AVERAGE RAID POINTS / MATCH,2,rakesh-narwal,,1.9,0,,2.83,1.5,3,Bengal Warriors
NO OF SUPER TACKLES,0,rakesh-narwal,,0,0,,0,0,0,Bengal Warriors
HIGH 5S,0,rakesh-narwal,,0,0,,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,2,rakesh-narwal,,0,0,,1,1,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0.08,rakesh-narwal,,0,0,,0.16,0.16,0,Bengal Warriors
TOTAL TACKLES,13,rakesh-narwal,,6,1,,3,3,0,Bengal Warriors
TACKLE STRIKE RATE,15.38 %,rakesh-narwal,,0,0,,33.33 %,33.33 %,0,Bengal Warriors
MATCHES PLAYED,18,ravindra-kumawat,,,,2,2,12,2,Bengal Warriors
TOTAL POINTS EARNED,49,ravindra-kumawat,,,,3,2,42,2,Bengal Warriors
MOST POINTS IN A MATCH,8,ravindra-kumawat,,,,2,2,8,2,Bengal Warriors
NOT OUT %,74.33 %,ravindra-kumawat,,,,62.5 %,57.14 %,78.02 %,57.14 %,Bengal Warriors
TOTAL RAIDS,113,ravindra-kumawat,,,,8,7,91,7,Bengal Warriors
SUCCESSFUL RAIDS %,37.16,ravindra-kumawat,,,,25,28.57,40.65,14.28,Bengal Warriors
NO OF SUPER RAIDS,2,ravindra-kumawat,,,,0,0,2,0,Bengal Warriors
SUPER 10S,0,ravindra-kumawat,,,,0,0,0,0,Bengal Warriors
TOTAL RAID POINTS,42,ravindra-kumawat,,,,2,2,37,1,Bengal Warriors
AVERAGE RAID POINTS / MATCH,2.33,ravindra-kumawat,,,,1,1,3.08,0.5,Bengal Warriors
NO OF SUPER TACKLES,0,ravindra-kumawat,,,,0,0,0,0,Bengal Warriors
HIGH 5S,0,ravindra-kumawat,,,,0,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,7,ravindra-kumawat,,,,1,0,5,1,Bengal Warriors
AVERAGE TACKLE / MATCH,0.38,ravindra-kumawat,,,,0.5,0,0.41,0.5,Bengal Warriors
TOTAL TACKLES,21,ravindra-kumawat,,,,1,1,18,1,Bengal Warriors
TACKLE STRIKE RATE,33.33 %,ravindra-kumawat,,,,100 %,0,27.77 %,100 %,Bengal Warriors
MATCHES PLAYED,96,sukesh-hegde,14,13,13,9,18,17,12,Bengal Warriors
TOTAL POINTS EARNED,400,sukesh-hegde,83,64,64,7,77,71,34,Bengal Warriors
MOST POINTS IN A MATCH,15,sukesh-hegde,9,9,9,3,15,9,8,Bengal Warriors
NOT OUT %,83.24 %,sukesh-hegde,81.53 %,83.45 %,80.13 %,78.94 %,87.65 %,82.38 %,82.19 %,Bengal Warriors
TOTAL RAIDS,931,sukesh-hegde,130,133,146,38,235,176,73,Bengal Warriors
SUCCESSFUL RAIDS %,41.35,sukesh-hegde,60.76,46.61,41.78,18.42,31.91,38.63,45.2,Bengal Warriors
NO OF SUPER RAIDS,15,sukesh-hegde,3,5,0,0,2,3,2,Bengal Warriors
SUPER 10S,1,sukesh-hegde,0,0,0,0,1,0,0,Bengal Warriors
TOTAL RAID POINTS,385,sukesh-hegde,79,62,61,7,75,68,33,Bengal Warriors
AVERAGE RAID POINTS / MATCH,4.01,sukesh-hegde,5.64,4.76,4.69,0.77,4.16,4,2.75,Bengal Warriors
NO OF SUPER TACKLES,2,sukesh-hegde,0,0,1,0,0,1,0,Bengal Warriors
HIGH 5S,0,sukesh-hegde,0,0,0,0,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,15,sukesh-hegde,4,2,3,0,2,3,1,Bengal Warriors
AVERAGE TACKLE / MATCH,0.13,sukesh-hegde,0.28,0.15,0.15,0,0.11,0.11,0.08,Bengal Warriors
TOTAL TACKLES,93,sukesh-hegde,21,13,16,7,13,19,4,Bengal Warriors
TACKLE STRIKE RATE,16.12 %,sukesh-hegde,19.04 %,15.38 %,18.75 %,0,15.38 %,15.78 %,25 %,Bengal Warriors
MATCHES PLAYED,3,naveen-narwal,,,,,,,3,Bengal Warriors
TOTAL POINTS EARNED,1,naveen-narwal,,,,,,,1,Bengal Warriors
MOST POINTS IN A MATCH,1,naveen-narwal,,,,,,,1,Bengal Warriors
NOT OUT %,0,naveen-narwal,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,naveen-narwal,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,naveen-narwal,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,naveen-narwal,,,,,,,0,Bengal Warriors
SUPER 10S,0,naveen-narwal,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,naveen-narwal,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,naveen-narwal,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,naveen-narwal,,,,,,,0,Bengal Warriors
HIGH 5S,0,naveen-narwal,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,1,naveen-narwal,,,,,,,1,Bengal Warriors
AVERAGE TACKLE / MATCH,0.33,naveen-narwal,,,,,,,0.33,Bengal Warriors
TOTAL TACKLES,8,naveen-narwal,,,,,,,8,Bengal Warriors
TACKLE STRIKE RATE,12.5 %,naveen-narwal,,,,,,,12.5 %,Bengal Warriors
MATCHES PLAYED,4,amit,,,,,,,4,Bengal Warriors
TOTAL POINTS EARNED,0,amit,,,,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,amit,,,,,,,0,Bengal Warriors
NOT OUT %,0,amit,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,amit,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,amit,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,amit,,,,,,,0,Bengal Warriors
SUPER 10S,0,amit,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,amit,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,amit,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,amit,,,,,,,0,Bengal Warriors
HIGH 5S,0,amit,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,amit,,,,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,amit,,,,,,,0,Bengal Warriors
TOTAL TACKLES,1,amit,,,,,,,1,Bengal Warriors
TACKLE STRIKE RATE,0,amit,,,,,,,0,Bengal Warriors
MATCHES PLAYED,37,baldev-singh,,,,,,18,19,Bengal Warriors
TOTAL POINTS EARNED,84,baldev-singh,,,,,,28,56,Bengal Warriors
MOST POINTS IN A MATCH,7,baldev-singh,,,,,,5,7,Bengal Warriors
NOT OUT %,66.66 %,baldev-singh,,,,,,0,80 %,Bengal Warriors
TOTAL RAIDS,6,baldev-singh,,,,,,1,5,Bengal Warriors
SUCCESSFUL RAIDS %,16.66,baldev-singh,,,,,,100,0,Bengal Warriors
NO OF SUPER RAIDS,0,baldev-singh,,,,,,0,0,Bengal Warriors
SUPER 10S,0,baldev-singh,,,,,,0,0,Bengal Warriors
TOTAL RAID POINTS,1,baldev-singh,,,,,,1,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0.02,baldev-singh,,,,,,0.05,0,Bengal Warriors
NO OF SUPER TACKLES,8,baldev-singh,,,,,,3,5,Bengal Warriors
HIGH 5S,7,baldev-singh,,,,,,1,6,Bengal Warriors
TOTAL TACKLE POINTS,83,baldev-singh,,,,,,27,56,Bengal Warriors
AVERAGE TACKLE / MATCH,2.02,baldev-singh,,,,,,1.33,2.68,Bengal Warriors
TOTAL TACKLES,170,baldev-singh,,,,,,70,100,Bengal Warriors
TACKLE STRIKE RATE,48.82 %,baldev-singh,,,,,,38.57 %,56 %,Bengal Warriors
MATCHES PLAYED,111,jeeva-kumar,9,13,16,14,22,19,18,Bengal Warriors
TOTAL POINTS EARNED,227,jeeva-kumar,16,39,31,26,44,40,31,Bengal Warriors
MOST POINTS IN A MATCH,9,jeeva-kumar,4,9,4,4,5,5,4,Bengal Warriors
NOT OUT %,100 %,jeeva-kumar,0,100 %,0,0,100 %,100 %,0,Bengal Warriors
TOTAL RAIDS,4,jeeva-kumar,0,1,0,0,2,1,0,Bengal Warriors
SUCCESSFUL RAIDS %,25,jeeva-kumar,0,100,0,0,0,0,0,Bengal Warriors
NO OF SUPER RAIDS,0,jeeva-kumar,0,0,0,0,0,0,0,Bengal Warriors
SUPER 10S,0,jeeva-kumar,0,0,0,0,0,0,0,Bengal Warriors
TOTAL RAID POINTS,1,jeeva-kumar,0,1,0,0,0,0,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,jeeva-kumar,0,0.07,0,0,0,0,0,Bengal Warriors
NO OF SUPER TACKLES,22,jeeva-kumar,0,7,1,2,7,4,1,Bengal Warriors
HIGH 5S,5,jeeva-kumar,0,3,0,0,1,1,0,Bengal Warriors
TOTAL TACKLE POINTS,226,jeeva-kumar,16,38,31,26,44,40,31,Bengal Warriors
AVERAGE TACKLE / MATCH,1.83,jeeva-kumar,1.77,2.38,1.87,1.71,1.68,1.89,1.66,Bengal Warriors
TOTAL TACKLES,487,jeeva-kumar,31,58,62,62,104,90,80,Bengal Warriors
TACKLE STRIKE RATE,46.4 %,jeeva-kumar,51.61 %,65.51 %,50 %,41.93 %,42.3 %,44.44 %,38.75 %,Bengal Warriors
MATCHES PLAYED,34,viraj-vishnu-landge,,,,,19,7,8,Bengal Warriors
TOTAL POINTS EARNED,29,viraj-vishnu-landge,,,,,16,6,7,Bengal Warriors
MOST POINTS IN A MATCH,3,viraj-vishnu-landge,,,,,2,2,3,Bengal Warriors
NOT OUT %,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
TOTAL RAIDS,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
NO OF SUPER RAIDS,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
SUPER 10S,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
TOTAL RAID POINTS,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
NO OF SUPER TACKLES,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
HIGH 5S,0,viraj-vishnu-landge,,,,,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,29,viraj-vishnu-landge,,,,,16,6,7,Bengal Warriors
AVERAGE TACKLE / MATCH,0.85,viraj-vishnu-landge,,,,,0.84,0.85,0.87,Bengal Warriors
TOTAL TACKLES,112,viraj-vishnu-landge,,,,,52,29,31,Bengal Warriors
TACKLE STRIKE RATE,25.89 %,viraj-vishnu-landge,,,,,30.76 %,20.68 %,22.58 %,Bengal Warriors
MATCHES PLAYED,19,adarsh-t,,,,,,10,9,Bengal Warriors
TOTAL POINTS EARNED,17,adarsh-t,,,,,,14,3,Bengal Warriors
MOST POINTS IN A MATCH,4,adarsh-t,,,,,,4,2,Bengal Warriors
NOT OUT %,100 %,adarsh-t,,,,,,100 %,0,Bengal Warriors
TOTAL RAIDS,1,adarsh-t,,,,,,1,0,Bengal Warriors
SUCCESSFUL RAIDS %,200,adarsh-t,,,,,,200,0,Bengal Warriors
NO OF SUPER RAIDS,0,adarsh-t,,,,,,0,0,Bengal Warriors
SUPER 10S,0,adarsh-t,,,,,,0,0,Bengal Warriors
TOTAL RAID POINTS,2,adarsh-t,,,,,,2,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0.1,adarsh-t,,,,,,0.2,0,Bengal Warriors
NO OF SUPER TACKLES,3,adarsh-t,,,,,,3,0,Bengal Warriors
HIGH 5S,0,adarsh-t,,,,,,0,0,Bengal Warriors
TOTAL TACKLE POINTS,15,adarsh-t,,,,,,12,3,Bengal Warriors
AVERAGE TACKLE / MATCH,0.63,adarsh-t,,,,,,0.9,0.33,Bengal Warriors
TOTAL TACKLES,32,adarsh-t,,,,,,23,9,Bengal Warriors
TACKLE STRIKE RATE,46.87 %,adarsh-t,,,,,,52.17 %,33.33 %,Bengal Warriors
MATCHES PLAYED,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TOTAL POINTS EARNED,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
NOT OUT %,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TOTAL RAIDS,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
SUPER 10S,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
HIGH 5S,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TOTAL TACKLES,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
TACKLE STRIKE RATE,0,dharmendra-singh,,0,0,,,,0,Bengal Warriors
MATCHES PLAYED,47,rinku-narwal,,,,,13,15,19,Bengal Warriors
TOTAL POINTS EARNED,91,rinku-narwal,,,,,22,21,51,Bengal Warriors
MOST POINTS IN A MATCH,7,rinku-narwal,,,,,7,5,5,Bengal Warriors
NOT OUT %,88.88 %,rinku-narwal,,,,,100 %,71.42 %,100 %,Bengal Warriors
TOTAL RAIDS,18,rinku-narwal,,,,,8,7,3,Bengal Warriors
SUCCESSFUL RAIDS %,11.11,rinku-narwal,,,,,12.5,14.28,0,Bengal Warriors
NO OF SUPER RAIDS,0,rinku-narwal,,,,,0,0,0,Bengal Warriors
SUPER 10S,0,rinku-narwal,,,,,0,0,0,Bengal Warriors
TOTAL RAID POINTS,2,rinku-narwal,,,,,1,1,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0.04,rinku-narwal,,,,,0.07,0.06,0,Bengal Warriors
NO OF SUPER TACKLES,7,rinku-narwal,,,,,4,1,2,Bengal Warriors
HIGH 5S,4,rinku-narwal,,,,,1,0,3,Bengal Warriors
TOTAL TACKLE POINTS,89,rinku-narwal,,,,,21,20,51,Bengal Warriors
AVERAGE TACKLE / MATCH,1.74,rinku-narwal,,,,,1.3,1.26,2.57,Bengal Warriors
TOTAL TACKLES,190,rinku-narwal,,,,,34,51,108,Bengal Warriors
TACKLE STRIKE RATE,46.84 %,rinku-narwal,,,,,61.76 %,39.21 %,47.22 %,Bengal Warriors
MATCHES PLAYED,0,amir-dhumal,,,,,,,0,Bengal Warriors
TOTAL POINTS EARNED,0,amir-dhumal,,,,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,amir-dhumal,,,,,,,0,Bengal Warriors
NOT OUT %,0,amir-dhumal,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,amir-dhumal,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,amir-dhumal,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,amir-dhumal,,,,,,,0,Bengal Warriors
SUPER 10S,0,amir-dhumal,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,amir-dhumal,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,amir-dhumal,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,amir-dhumal,,,,,,,0,Bengal Warriors
HIGH 5S,0,amir-dhumal,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,amir-dhumal,,,,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,amir-dhumal,,,,,,,0,Bengal Warriors
TOTAL TACKLES,0,amir-dhumal,,,,,,,0,Bengal Warriors
TACKLE STRIKE RATE,0,amir-dhumal,,,,,,,0,Bengal Warriors
MATCHES PLAYED,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TOTAL POINTS EARNED,0,avinash-a--r-,,,,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,avinash-a--r-,,,,,,,0,Bengal Warriors
NOT OUT %,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,avinash-a--r-,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,avinash-a--r-,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,avinash-a--r-,,,,,,,0,Bengal Warriors
SUPER 10S,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,avinash-a--r-,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,avinash-a--r-,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,avinash-a--r-,,,,,,,0,Bengal Warriors
HIGH 5S,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,avinash-a--r-,,,,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TOTAL TACKLES,0,avinash-a--r-,,,,,,,0,Bengal Warriors
TACKLE STRIKE RATE,0,avinash-a--r-,,,,,,,0,Bengal Warriors
MATCHES PLAYED,19,esmaeil-nabibakhsh,,,,,,,19,Bengal Warriors
TOTAL POINTS EARNED,95,esmaeil-nabibakhsh,,,,,,,95,Bengal Warriors
MOST POINTS IN A MATCH,10,esmaeil-nabibakhsh,,,,,,,10,Bengal Warriors
NOT OUT %,80.54 %,esmaeil-nabibakhsh,,,,,,,80.54 %,Bengal Warriors
TOTAL RAIDS,185,esmaeil-nabibakhsh,,,,,,,185,Bengal Warriors
SUCCESSFUL RAIDS %,37.83,esmaeil-nabibakhsh,,,,,,,37.83,Bengal Warriors
NO OF SUPER RAIDS,3,esmaeil-nabibakhsh,,,,,,,3,Bengal Warriors
SUPER 10S,1,esmaeil-nabibakhsh,,,,,,,1,Bengal Warriors
TOTAL RAID POINTS,70,esmaeil-nabibakhsh,,,,,,,70,Bengal Warriors
AVERAGE RAID POINTS / MATCH,3.68,esmaeil-nabibakhsh,,,,,,,3.68,Bengal Warriors
NO OF SUPER TACKLES,2,esmaeil-nabibakhsh,,,,,,,2,Bengal Warriors
HIGH 5S,1,esmaeil-nabibakhsh,,,,,,,1,Bengal Warriors
TOTAL TACKLE POINTS,25,esmaeil-nabibakhsh,,,,,,,25,Bengal Warriors
AVERAGE TACKLE / MATCH,1.21,esmaeil-nabibakhsh,,,,,,,1.21,Bengal Warriors
TOTAL TACKLES,52,esmaeil-nabibakhsh,,,,,,,52,Bengal Warriors
TACKLE STRIKE RATE,48.07 %,esmaeil-nabibakhsh,,,,,,,48.07 %,Bengal Warriors
MATCHES PLAYED,29,mayur-shivtarkar,,,,,5,18,6,Bengal Warriors
TOTAL POINTS EARNED,33,mayur-shivtarkar,,,,,6,23,4,Bengal Warriors
MOST POINTS IN A MATCH,3,mayur-shivtarkar,,,,,3,3,2,Bengal Warriors
NOT OUT %,68.85 %,mayur-shivtarkar,,,,,56 %,77.77 %,0,Bengal Warriors
TOTAL RAIDS,61,mayur-shivtarkar,,,,,25,36,0,Bengal Warriors
SUCCESSFUL RAIDS %,14.75,mayur-shivtarkar,,,,,20,11.11,0,Bengal Warriors
NO OF SUPER RAIDS,0,mayur-shivtarkar,,,,,0,0,0,Bengal Warriors
SUPER 10S,0,mayur-shivtarkar,,,,,0,0,0,Bengal Warriors
TOTAL RAID POINTS,9,mayur-shivtarkar,,,,,5,4,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0.31,mayur-shivtarkar,,,,,1,0.22,0,Bengal Warriors
NO OF SUPER TACKLES,0,mayur-shivtarkar,,,,,0,0,0,Bengal Warriors
HIGH 5S,0,mayur-shivtarkar,,,,,0,0,0,Bengal Warriors
TOTAL TACKLE POINTS,24,mayur-shivtarkar,,,,,1,19,4,Bengal Warriors
AVERAGE TACKLE / MATCH,0.82,mayur-shivtarkar,,,,,0.2,1.05,0.66,Bengal Warriors
TOTAL TACKLES,88,mayur-shivtarkar,,,,,2,65,21,Bengal Warriors
TACKLE STRIKE RATE,27.27 %,mayur-shivtarkar,,,,,50 %,29.23 %,19.04 %,Bengal Warriors
MATCHES PLAYED,0,sourabh-patil,,,,,,,0,Bengal Warriors
TOTAL POINTS EARNED,0,sourabh-patil,,,,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,sourabh-patil,,,,,,,0,Bengal Warriors
NOT OUT %,0,sourabh-patil,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,sourabh-patil,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,sourabh-patil,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,sourabh-patil,,,,,,,0,Bengal Warriors
SUPER 10S,0,sourabh-patil,,,,,,,0,Bengal Warriors
TOTAL RAID POINTS,0,sourabh-patil,,,,,,,0,Bengal Warriors
AVERAGE RAID POINTS / MATCH,0,sourabh-patil,,,,,,,0,Bengal Warriors
NO OF SUPER TACKLES,0,sourabh-patil,,,,,,,0,Bengal Warriors
HIGH 5S,0,sourabh-patil,,,,,,,0,Bengal Warriors
TOTAL TACKLE POINTS,0,sourabh-patil,,,,,,,0,Bengal Warriors
AVERAGE TACKLE / MATCH,0,sourabh-patil,,,,,,,0,Bengal Warriors
TOTAL TACKLES,0,sourabh-patil,,,,,,,0,Bengal Warriors
TACKLE STRIKE RATE,0,sourabh-patil,,,,,,,0,Bengal Warriors
MATCHES PLAYED,1,sunil-dubile,,,,,,,1,Bengal Warriors
TOTAL POINTS EARNED,0,sunil-dubile,,,,,,,0,Bengal Warriors
MOST POINTS IN A MATCH,0,sunil-dubile,,,,,,,0,Bengal Warriors
NOT OUT %,0,sunil-dubile,,,,,,,0,Bengal Warriors
TOTAL RAIDS,0,sunil-dubile,,,,,,,0,Bengal Warriors
SUCCESSFUL RAIDS %,0,sunil-dubile,,,,,,,0,Bengal Warriors
NO OF SUPER RAIDS,0,sunil-dubile,,,,,,,0,Bengal Warriors
SUPER 10S,0,sunil-dubile,,,,,,,0,Bengal Warriors
